\N|Reservierung Orientierungstage|20192|2019-09-11|2019-09-11|14:30|18:00|Mi|wöchentlich|5.302
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-11|2019-09-11|08:00|13:00|Mi|Einzeltermin|HS C
\N|Veranstaltung Dekanat VW|20192|2019-09-11|2019-09-11|08:00|18:00|Mi|Einzeltermin|N110
\N|Veranstaltung Dekanat VW|20192|2019-09-11|2019-09-11|08:00|18:00|Mi|Einzeltermin|N113
\N|Interforum|20192|2019-09-12|2019-09-12|13:00|18:00|Do|Einzeltermin|4.106
\N|kowalsky|20192|2019-09-12|2019-09-12|08:00|18:00|Do|Einzeltermin|4.110
\N|Reservierung AAA|20192|2019-09-12|2019-09-12|12:30|15:00|Do|Einzeltermin|4.209
\N|Reservierung AAA|20192|2019-09-12|2019-09-12|12:30|15:00|Do|Einzeltermin|4.208
\N|Reservierung Frau Hellwig|20192|2019-09-12|2019-09-12|08:00|20:00|Do|Einzeltermin|9.301
\N|Reservierung Orientierungstage|20192|2019-09-12|2019-09-12|14:00|15:00|Do|wöchentlich|HS C
\N|Reservierung Prof. Dr. Groß|20192|2019-09-12|2019-09-12|14:30|16:00|Do|Einzeltermin|2.106
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-12|2019-09-12|08:00|13:00|Do|Einzeltermin|HS C
\N|Veranstaltung Dekanat VW|20192|2019-09-12|2019-09-12|08:30|14:00|Do|Einzeltermin|N110
\N|Veranstaltung Dekanat VW|20192|2019-09-12|2019-09-12|08:30|14:00|Do|Einzeltermin|D101
\N|Veranstaltung Dekanat VW|20192|2019-09-12|2019-09-12|08:30|14:00|Do|Einzeltermin|N113
\N|kowalsky|20192|2019-09-13|2019-09-13|08:00|18:00|Fr|Einzeltermin|4.110
\N|Reservierung Berufsbegl. Bachelor W-Ing.|20192|2019-09-13|2019-09-15|08:30|18:00|- |Blockveranstaltung + Sa und So|5.102
\N|Reservierung Berufsbegl. Bachelor W-Ing.|20192|2019-09-13|2019-09-15|09:00|18:00|- |Blockveranstaltung + Sa und So|5.302
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-13|2019-09-15|09:00|10:00|- |Blockveranstaltung + Sa und So|4.015
\N|Reservierung Frau Hellwig|20192|2019-09-13|2019-09-13|08:00|20:00|Fr|Einzeltermin|9.301
\N|Reservierung Kino|20192|2019-09-13|2019-09-13|18:00|23:00|Fr|Einzeltermin|4.102
\N|Reservierung Kino|20192|2019-09-13|2019-09-13|18:00|23:00|Fr|Einzeltermin|4.003
\N|Reservierung Kino|20192|2019-09-13|2019-09-13|18:00|23:00|Fr|Einzeltermin|4.002
\N|Reservierung Kino|20192|2019-09-13|2019-09-13|18:00|23:00|Fr|Einzeltermin|4.101
\N|Reservierung Prof. Dr. Ingo Schütt|20192|2019-09-13|2019-09-13|08:00|13:00|Fr|Einzeltermin|HS C
\N|Reservierung Prof. Dr. Kaune|20192|2019-09-13|2019-09-13|13:00|17:00|Fr|Einzeltermin|2.306
\N|Veranstaltung Dekanat VW|20192|2019-09-13|2019-09-13|14:00|18:00|Fr|Einzeltermin|S005
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-14|2019-09-15|09:00|18:00|- |Blockveranstaltung + Sa und So|4.011
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-14|2019-09-14|08:00|10:00|Sa|Einzeltermin|4.001
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-14|2019-09-14|11:00|14:00|Sa|Einzeltermin|4.208
\N|Reservierung berufsbegl. BWL Studiengänge|20192|2019-09-14|2019-09-14|08:00|10:00|Sa|Einzeltermin|4.002
\N|Reservierung Frau Koch, Offene Hochschule|20192|2019-09-14|2019-09-14|08:00|10:00|Sa|Einzeltermin|9.129
10268               |Arbeitsrecht/Öffentliches Dienstrecht|20192|2019-09-16|\N|15:30|17:00|Mo|wöchentlich|N113
10268               |Arbeitsrecht/Öffentliches Dienstrecht|20192|2019-09-16|\N|13:45|15:15|Mo|wöchentlich|N113
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|15:00|17:00|Mo|Einzeltermin|5.102
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|12:00|12:45|Mo|Einzeltermin|9.101
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|08:00|10:45|Mo|Einzeltermin|9.129
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|11:30|16:30|Mo|Einzeltermin|9.129
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|12:00|12:45|Mo|Einzeltermin|9.136
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|14:00|14:45|Mo|Einzeltermin|HS C
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|12:00|12:45|Mo|Einzeltermin|2.206
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|12:00|12:45|Mo|Einzeltermin|3.101
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|12:00|12:45|Mo|Einzeltermin|5.206
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|15:00|17:00|Mo|Einzeltermin|5.203
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|12:00|12:45|Mo|Einzeltermin|5.301
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|09:45|10:30|Mo|Einzeltermin|9.101
\N|Erstsemestertag|20192|2019-09-16|2019-09-16|16:30|17:45|Mo|Einzeltermin|9.129
526_V               |H1-Beratungsprojekt und Beratungskompetenz|20192|2019-09-16|2019-12-16|17:00|20:15|Mo|wöchentlich|2.306
585_V               |H1-Beratungs- und Moderationstraining|20192|2019-09-16|2019-12-16|15:15|16:45|Mo|wöchentlich|2.306
2556_V              |H1-Introduction to Research Fields in Computer Science|20192|2019-09-16|2019-12-16|09:45|11:15|Mo|wöchentlich|5.301
569_V               |H1-Ringvorlesung|20192|2019-09-16|2019-12-16|11:30|13:00|Mo|wöchentlich|4.010
\N|Kolloquium FB VW|20192|2019-09-16|2019-09-16|14:00|16:00|Mo|Einzeltermin|S012
\N|Kolloquium FB VW|20192|2019-09-16|2019-09-16|13:30|15:00|Mo|Einzeltermin|S203
10030               |Kommunale Verwaltung und Wirtschaft|20192|2019-09-16|\N|13:45|17:00|Mo|wöchentlich|D101
10323               |Öffentliches Dienstrecht|20192|2019-09-16|\N|17:15|20:30|Mo|14-täglich|N110
